rcid,TOTALRAISED,YEARFOUNDED,EMPLOYEES,REVENUE,Bankrupt,Acquired_IPO,DEALSIZE,SeriesA
16,,2015.0,,,0.0,1.0,,0.0
20,5.233994,2020.0,10.0,,0.0,0.0,4.933994,0.0
83,,2014.0,17.0,,0.0,0.0,,0.0
158,2.500001,2012.0,19.0,7.0,1.0,0.0,2.500001,0.0
224,,,,,,,,0.0
228,193.251737,2015.0,103.0,,0.0,0.0,55.0,1.0
276,,2000.0,54.0,,0.0,1.0,,0.0
376,,2009.0,16.0,,0.0,0.0,,0.0
377,0.8,2017.0,,,1.0,0.0,0.5,0.0
411,3.5,2011.0,25.0,,1.0,0.0,3.5,0.0
422,,,,,,,0.12,0.0
459,8.550002000000001,2004.0,58.0,26.2,0.0,1.0,4.000001,1.0
594,,2008.0,4.0,,0.0,1.0,,0.0
710,,2015.0,2.0,,0.0,0.0,0.0175,0.0
718,6.849998,2015.0,30.0,5.808,0.0,1.0,6.499998,1.0
735,,2015.0,16.0,,0.0,0.0,1.044,0.0
789,0.25,2019.0,12.0,0.5,0.0,0.0,0.25,0.0
853,103.0,2018.0,42.0,,0.0,0.0,78.0,1.0
981,12.5,2017.0,50.0,,0.0,0.0,12.5,0.0
1003,,2009.0,,,0.0,1.0,,0.0
1047,89.5,2016.0,200.0,,0.0,0.0,40.0,1.0
1088,7.65,2021.0,8.0,,0.0,0.0,7.2,0.0
1105,76.605803,2016.0,43.0,7.0,0.0,1.0,100.0,1.0
1122,2.276969,2020.0,10.0,,0.0,0.0,2.276969,0.0
1135,0.314115,2021.0,5.0,,0.0,0.0,0.2,0.0
1159,9.5,2014.0,14.0,,0.0,0.0,9.5,1.0
1252,1.0,2011.0,4.0,,0.0,1.0,1.0,0.0
1368,,,,,,,1.41719172,0.0
1401,,,65.0,6.47,0.0,1.0,1100.0,0.0
1474,84.99999100000001,2000.0,,,0.0,1.0,40.0,1.0
1484,,2019.0,3.0,,1.0,0.0,,0.0
1486,0.05,2014.0,4.0,,1.0,0.0,0.05,0.0
1527,23.025176,2002.0,50.0,,0.0,0.0,11.5,1.0
1647,2.6,2012.0,15.0,,0.0,1.0,17.26,0.0
1664,,2009.0,52.0,,0.0,1.0,,0.0
1680,,2012.0,26.0,,0.0,1.0,6.34,0.0
1761,1.0,2009.0,,,0.0,1.0,1.0,1.0
1790,1.5,2018.0,21.0,0.742,0.0,0.0,1.5,0.0
1844,,,10.0,,0.0,1.0,,0.0
1863,7.29536,2013.0,31.0,,0.0,1.0,3.99536,0.0
1878,8.125325,2016.0,15.0,,0.0,0.0,6.125326,0.0
1905,135.276164,2020.0,25.0,,0.0,0.0,75.276164,0.0
1915,85.0,2000.0,80.0,36.0,0.0,1.0,485.814,1.0
1950,,2008.0,13.0,,0.0,1.0,,0.0
1967,1.8,2020.0,5.0,,0.0,0.0,1.8,0.0
2069,1.715,2012.0,15.0,,0.0,1.0,1.215,0.0
2227,0.035,2013.0,4.0,,1.0,0.0,0.035,0.0
2319,150.0,2021.0,84.0,,0.0,0.0,150.0,0.0
2476,,2010.0,45.0,,0.0,1.0,12.6,0.0
2573,,2005.0,,,0.0,1.0,,0.0
2655,,1988.0,26.0,,0.0,0.0,0.531,0.0
2790,,1998.0,27.0,6.3,0.0,1.0,,0.0
2977,,,,,,,,0.0
3086,0.2,2015.0,12.0,,0.0,0.0,1.75787,0.0
3142,,1999.0,,,0.0,1.0,,0.0
3150,72.791371,2005.0,80.0,20.0,0.0,1.0,18.56385,1.0
3177,,2015.0,,,0.0,0.0,,
3275,,2008.0,,,0.0,0.0,1.23495,0.0
3345,0.02363,2010.0,,,1.0,0.0,0.02363,0.0
3365,,,3.0,,0.0,0.0,5.0,0.0
3368,1.82,2013.0,23.0,,0.0,0.0,1.82,0.0
3417,10.680165,2015.0,30.0,,1.0,0.0,5.0,1.0
3424,0.03,2014.0,4.0,,1.0,0.0,0.03,0.0
3493,0.2,2014.0,6.0,,1.0,0.0,0.2,0.0
3525,1.1,2011.0,24.0,,0.0,0.0,1.1,0.0
3553,11.0,2008.0,129.0,,0.0,0.0,0.6339,0.0
3580,,2004.0,108.0,,0.0,0.0,1.617,0.0
3602,,2019.0,12.0,,0.0,1.0,,0.0
3631,6.552777,2013.0,59.0,2.0,0.0,1.0,3.046263,1.0
3646,7.924028,2004.0,19.0,,0.0,1.0,3.495798,1.0
3647,,2017.0,20.0,,0.0,0.0,0.1104,0.0
3652,,2009.0,100.0,59.0,0.0,1.0,,0.0
3691,,,,,,,78.6755512,0.0
3703,71.375,2007.0,49.0,10.0,0.0,0.0,40.0,0.0
3723,3.10237,2010.0,8.0,,0.0,1.0,2.302371,0.0
3773,2.5,2014.0,11.0,,0.0,0.0,2.5,0.0
3815,77.349997,2018.0,173.0,,0.0,0.0,42.5,1.0
3868,0.29,2014.0,4.0,0.592,0.0,0.0,0.165,0.0
3911,,2006.0,166.0,20.0,0.0,1.0,18.0,0.0
3939,2.293,2013.0,4.0,,1.0,0.0,1.69,1.0
3964,436.0,2006.0,579.0,293.313,0.0,1.0,336.0,0.0
4002,41.86,2009.0,64.0,10.0,0.0,0.0,28.0,0.0
4026,,2015.0,,,0.0,1.0,,0.0
4091,,2007.0,23.0,,0.0,1.0,,0.0
4166,1.7,2014.0,12.0,,1.0,0.0,1.7,0.0
4189,2.2,2015.0,,,0.0,0.0,2.2,0.0
4316,,2008.0,67.0,0.848593,0.0,1.0,,0.0
4334,57.2,2013.0,,,0.0,1.0,950.0,1.0
4507,,2017.0,6.0,,1.0,0.0,0.021025,0.0
4662,24.149999,2011.0,14.0,,0.0,1.0,9.3,1.0
4664,0.024,2010.0,27.0,,0.0,0.0,0.035,0.0
4669,,2011.0,8.0,,0.0,0.0,2.05196,0.0
4758,85.730903,2015.0,59.0,,0.0,0.0,29.999996,1.0
4811,29.3992,2010.0,49.0,,0.0,0.0,25.0,1.0
4841,0.125,2015.0,46.0,,0.0,0.0,0.125,0.0
4849,,2019.0,13.0,,0.0,1.0,,0.0
4875,31.229998,2017.0,32.0,,0.0,0.0,20.229998,1.0
4886,,2016.0,5.0,,1.0,0.0,,0.0
4943,0.15,2016.0,9.0,,0.0,0.0,0.15,0.0
4963,,2009.0,400.0,20.75,0.0,0.0,,0.0
5091,,2010.0,5.0,,0.0,1.0,,0.0
5122,42.5,2018.0,115.0,,0.0,0.0,29.0,1.0
5152,,2017.0,15.0,,0.0,0.0,,0.0
5191,,2016.0,,,0.0,0.0,,
5356,2.000001,2013.0,11.0,,0.0,1.0,15.3,1.0
5416,38.1,2020.0,12.0,,0.0,0.0,38.1,1.0
5418,0.5,2011.0,11.0,,0.0,1.0,0.5,0.0
5448,1.125,2013.0,6.0,,1.0,0.0,0.5750000000000001,1.0
5484,3.1,2011.0,17.0,,0.0,0.0,2.1,1.0
5524,0.2,2015.0,35.0,,0.0,1.0,0.2,1.0
5529,0.875,2007.0,3.0,,1.0,0.0,0.07423,1.0
5590,0.961,2018.0,22.0,,0.0,0.0,0.5,0.0
5642,0.432,2015.0,5.0,1.28275,1.0,0.0,0.432,0.0
5745,3.402,2007.0,,,0.0,1.0,3.4,1.0
5756,6.1137440000000005,2013.0,6.0,,0.0,0.0,5.1000000000000005,1.0
5786,0.05,,1.0,,1.0,0.0,0.075,0.0
5957,,,,,,,1.5,0.0
6049,0.1,2008.0,7.0,,0.0,0.0,0.1,0.0
6235,,2018.0,,,0.0,1.0,,0.0
6255,0.21,2012.0,3.0,,1.0,0.0,0.21,0.0
6360,5.25,2001.0,,,0.0,1.0,5.25,0.0
6388,,,,,,,32.999995,1.0
6465,2.0000050000000003,2011.0,6.0,,0.0,0.0,1.500005,1.0
6531,111.25,2016.0,350.0,,0.0,0.0,85.0,1.0
6575,,2014.0,,,1.0,0.0,,0.0
6613,,2002.0,45.0,,0.0,1.0,0.3,0.0
6696,0.2,2014.0,6.0,,0.0,0.0,0.15,0.0
6711,,2014.0,,,0.0,0.0,,
6728,33.22,2007.0,20.0,1.425,0.0,1.0,90.0,1.0
6767,14.698001,2010.0,30.0,,0.0,0.0,10.000002,1.0
6771,3.57641,2014.0,3.0,,1.0,0.0,2.9,1.0
6937,0.7062734700000001,2007.0,,,0.0,1.0,5.75,0.0
7002,25.22498,2017.0,45.0,,0.0,0.0,20.0,1.0
7125,,2003.0,,,0.0,1.0,4.4,0.0
7148,0.02,2011.0,11.0,,1.0,0.0,0.02,0.0
7195,7.49,2015.0,6.0,,0.0,0.0,5.0,1.0
7238,2.188,2009.0,11.0,,1.0,0.0,2.0,1.0
7253,4.454356,2014.0,75.0,,0.0,1.0,1.999995,1.0
7273,0.175,2014.0,4.0,,1.0,0.0,0.175,0.0
7319,,2014.0,51.0,,0.0,1.0,,0.0
7322,89.0,1997.0,,,0.0,1.0,15.000001,1.0
7387,30.298742,2015.0,40.0,,0.0,0.0,6.6,0.0
7416,0.35,2014.0,,,0.0,0.0,0.35,0.0
7432,,,,,,,8.3783469,0.0
7473,,2018.0,24.0,,0.0,0.0,,0.0
7495,,2006.0,8.0,,0.0,0.0,0.3,0.0
7507,,1999.0,1001.0,,0.0,1.0,,0.0
7529,1.8,2009.0,,,1.0,0.0,1.8,0.0
7555,9.499938,2017.0,39.0,,0.0,0.0,7.0,1.0
7725,,2006.0,11.0,7.0,0.0,1.0,21.5,0.0
7743,0.9,1994.0,175.0,33.0,0.0,1.0,36.0,0.0
7769,0.052587,2015.0,10.0,0.001396,1.0,0.0,0.052587,0.0
7810,17.212769,2009.0,68.0,,0.0,0.0,13.847412,0.0
7819,42.020224,2018.0,48.0,,0.0,0.0,30.0,1.0
7865,0.32,2014.0,4.0,,1.0,0.0,0.3,0.0
7911,2.500023,2013.0,16.0,,0.0,1.0,5.999979,0.0
7948,,2002.0,37.0,,0.0,0.0,,0.0
8077,5.0996,2009.0,51.0,,0.0,1.0,3.4881,1.0
8091,,2018.0,,,0.0,1.0,,0.0
8124,4.5,2015.0,10.0,,1.0,0.0,2.5,1.0
8126,,2010.0,5.0,,1.0,0.0,,0.0
8138,,2003.0,,,0.0,1.0,,0.0
8234,,2010.0,11.0,0.6,0.0,1.0,0.8,0.0
8263,,2009.0,,,1.0,0.0,,0.0
8266,,2001.0,20.0,5.356625,0.0,1.0,,0.0
8290,,2001.0,,,0.0,1.0,,0.0
8324,,2013.0,7.0,,0.0,0.0,,0.0
8368,,2010.0,2.0,,0.0,0.0,,
8427,0.3,2013.0,11.0,,1.0,0.0,0.3,0.0
8439,121.0,2015.0,175.0,5.0,0.0,0.0,103.0,1.0
8459,0.005,2015.0,7.0,,0.0,0.0,0.025,0.0
8474,0.19,2013.0,23.0,1.0,0.0,0.0,1.0,0.0
8606,0.5,2009.0,1.0,,1.0,0.0,0.25,0.0
8608,,1985.0,180.0,,0.0,0.0,3.47,0.0
8624,,2009.0,,1.2,0.0,0.0,0.08265,0.0
8713,32.694104,2014.0,29.0,,0.0,0.0,15.0,1.0
8988,0.615006,2011.0,8.0,,0.0,1.0,0.600006,1.0
9128,15.364999,2013.0,,,1.0,0.0,10.0,1.0
9132,56.25,2020.0,28.0,,0.0,0.0,25.0,1.0
9285,,2010.0,26.0,,0.0,0.0,0.2102,0.0
9310,173.5,2015.0,315.0,1.2,0.0,1.0,1000.0,1.0
9364,3.496,2005.0,14.0,,0.0,0.0,1.962,0.0
9369,0.1125,2018.0,10.0,0.12647,0.0,1.0,0.132742,0.0
9425,,,,,,,15.0,1.0
9433,0.55,2011.0,11.0,,0.0,0.0,0.5,0.0
9511,0.03,2016.0,49.0,,0.0,0.0,0.03,0.0
9518,2.25,2013.0,38.0,,0.0,1.0,2.25,0.0
9579,,2008.0,200.0,38.5,0.0,1.0,70.0,0.0
9719,,2011.0,8.0,,0.0,1.0,3.5332980000000003,0.0
9861,,1989.0,750.0,100.0,0.0,0.0,4.922,0.0
9952,,2015.0,405.0,123.5,0.0,1.0,351.8,0.0
9978,,2013.0,6.0,,0.0,0.0,,0.0
9991,5.078685,2015.0,22.0,,1.0,0.0,4.1,0.0
10038,1.58,2008.0,,,1.0,0.0,1.58,0.0
10040,,2012.0,12.0,,0.0,1.0,,0.0
10067,,,,,,,0.20276065,0.0
10117,,2002.0,26.0,,1.0,1.0,0.5305,0.0
10130,14.653858,2011.0,88.0,3.4,0.0,1.0,6.250007,1.0
10191,6.15,2017.0,160.0,8.0,0.0,0.0,6.0,1.0
10214,,2014.0,200.0,7.4,0.0,0.0,,0.0
10216,2.27,2015.0,8.0,,0.0,0.0,2.1,0.0
10246,,2015.0,,,0.0,1.0,,0.0
10258,1.4,2000.0,15.0,,0.0,1.0,1.4,1.0
10283,,1996.0,112.0,,0.0,1.0,,0.0
10294,0.535,2011.0,11.0,,1.0,0.0,0.535,1.0
10442,,2007.0,54.0,15.6,0.0,1.0,42.0,0.0
10456,,1993.0,,,0.0,1.0,,0.0
10757,1.693,2014.0,4.0,,1.0,0.0,1.0,0.0
10796,,,,,,,50.0,1.0
10805,0.63,2020.0,8.0,,0.0,0.0,0.63,0.0
10811,63.0,2014.0,32.0,,1.0,0.0,34.0,1.0
10854,0.25,2016.0,22.0,3.0,0.0,1.0,53.0,0.0
10868,0.0465,2015.0,3.0,,0.0,0.0,0.18,0.0
10910,0.2,2009.0,11.0,,0.0,1.0,0.2,0.0
10972,,2008.0,4.0,,0.0,0.0,,0.0
11047,,2008.0,38.0,,0.0,0.0,,0.0
11055,2.775,2017.0,16.0,,0.0,0.0,1.26,1.0
11161,9.252986,2007.0,21.0,2.827901,0.0,0.0,5.0,1.0
11217,,2003.0,,,0.0,1.0,,0.0
11337,1.0,2020.0,10.0,,0.0,0.0,1.0,0.0
11367,8.785,2007.0,7.0,,1.0,0.0,6.285,0.0
11483,0.15,2017.0,,,1.0,0.0,0.15,0.0
11500,17.235,2009.0,180.0,20.0,0.0,0.0,6.0,1.0
11549,24.635998,2015.0,39.0,,0.0,0.0,12.999996,1.0
11674,,2009.0,4.0,,0.0,1.0,100.0,0.0
11688,0.808,2012.0,1.0,,0.0,0.0,0.44,0.0
11721,0.39,2013.0,,,1.0,0.0,0.22,0.0
11771,2.045,2018.0,19.0,0.2,0.0,0.0,2.0,0.0
11800,9.5,2021.0,14.0,,0.0,0.0,3.5,0.0
11823,1.0,2010.0,5.0,,1.0,0.0,1.0,1.0
11915,,2017.0,1.0,,0.0,0.0,,0.0
12002,3.325,2019.0,12.0,,0.0,0.0,3.25,0.0
12228,0.601265,2018.0,10.0,,0.0,0.0,0.5,0.0
12319,,1987.0,51.0,9.517,0.0,1.0,22.0,0.0
12333,5.58,2015.0,23.0,,1.0,0.0,3.5,1.0
12343,,2013.0,7.0,,1.0,0.0,0.05965,0.0
12429,31.715692,2014.0,28.0,,0.0,0.0,11.227697,1.0
12645,14.037499,2007.0,30.0,,0.0,1.0,8.0,1.0
12840,12.1,2017.0,22.0,,0.0,0.0,7.0,1.0
12869,53.702343,2009.0,174.0,,0.0,0.0,16.844272,1.0
12989,,2009.0,117.0,,0.0,0.0,,0.0
13012,,2008.0,350.0,17.5,0.0,0.0,2.0727,0.0
13020,1.7,2008.0,35.0,,0.0,0.0,1.2,0.0
13104,12.301218,2019.0,20.0,,0.0,0.0,6.0,1.0
13130,,2015.0,50.0,,0.0,1.0,,0.0
13155,13.025484,2012.0,29.0,,0.0,0.0,6.728484,1.0
13174,15.19,2012.0,,,1.0,0.0,3.0,0.0
13223,2.0,2012.0,13.0,,0.0,1.0,31.9,1.0
13377,0.2,2001.0,,4.1,0.0,1.0,0.2,0.0
13480,4.619999,2010.0,41.0,6.43,0.0,0.0,2.0,1.0
13553,,,,,,,4.4,0.0
13569,1.79991,2017.0,12.0,8.0,0.0,1.0,67.63,1.0
13591,134.716977,2013.0,52.0,,0.0,0.0,72.999994,1.0
13646,,2014.0,3.0,,1.0,0.0,,0.0
13754,2.125,2013.0,22.0,,1.0,0.0,2.0,1.0
13813,,2010.0,17.0,,0.0,1.0,,0.0
13816,38.899986,2007.0,23.0,,0.0,1.0,19.999998,1.0
13845,,,,,,,,0.0
13862,59.836774,2006.0,14.0,,0.0,0.0,27.2,1.0
13884,0.60882,2015.0,9.0,,0.0,0.0,2.0,0.0
14099,,2019.0,7.0,,0.0,0.0,0.547,0.0
14140,0.5,2012.0,4.0,,0.0,0.0,0.5,1.0
14275,,2010.0,13.0,36.0,0.0,1.0,80.0,0.0
14276,,2002.0,8.0,,0.0,1.0,,0.0
14444,20.1854,2004.0,44.0,,0.0,1.0,7.5,0.0
14570,,2013.0,31.0,,0.0,1.0,11.3,0.0
14614,0.965,2015.0,17.0,,0.0,1.0,9.0,0.0
14659,,2012.0,12.0,,0.0,0.0,1.0,0.0
14718,0.11,2013.0,3.0,,1.0,0.0,0.11,0.0
14740,11.45,2010.0,6.0,,0.0,0.0,6.4,1.0
14754,8.63,2013.0,20.0,,0.0,0.0,7.7,0.0
14836,,,,,,,,0.0
14880,5.725,2016.0,10.0,,0.0,0.0,5.4,0.0
14910,,2019.0,18.0,,0.0,0.0,3.269458,0.0
15018,10.0,2018.0,7.0,,1.0,0.0,10.0,0.0
15088,16.42,2017.0,34.0,,0.0,0.0,8.0,1.0
15301,,2018.0,53.0,,0.0,0.0,0.01,0.0
15412,0.3,2011.0,,,1.0,0.0,0.3,0.0
15418,20.02,2015.0,45.0,63.82,1.0,0.0,,0.0
15480,32.1144,2012.0,149.0,,0.0,1.0,10.925001,1.0
15575,,1867.0,1169.0,502.657,0.0,1.0,,0.0
15666,,2006.0,115.0,,0.0,0.0,,0.0
15683,1.125,2019.0,10.0,0.2831,0.0,0.0,2.0,0.0
15714,1.0,2015.0,,,1.0,1.0,8.25,0.0
15723,0.02,2013.0,4.0,,1.0,0.0,0.02,0.0
15884,0.02,2012.0,,,1.0,0.0,0.02,0.0
16168,,2007.0,179.0,20.3,0.0,1.0,,0.0
16215,,2011.0,,,0.0,1.0,,0.0
16388,33.81948,2011.0,39.0,,0.0,0.0,33.81948,1.0
16392,5.2,2019.0,10.0,,0.0,1.0,19.3,0.0
16467,29.28,2000.0,63.0,23.584806,0.0,1.0,15.0,1.0
16488,1.0,2017.0,4.0,,1.0,0.0,1.0,0.0
16542,,2001.0,,,0.0,1.0,6.08077043,0.0
16571,0.53,2020.0,4.0,,1.0,0.0,0.03,0.0
16657,14.999967,2016.0,86.0,,0.0,1.0,7.999999,1.0
16746,1.95,2013.0,33.0,,0.0,0.0,1.95,0.0
16750,2.11,2010.0,9.0,,0.0,1.0,1.875,0.0
16961,0.256,2012.0,22.0,,0.0,0.0,0.118,0.0
17026,8.449997,2014.0,8.0,,0.0,0.0,6.449997,0.0
17064,20.859625,2003.0,64.0,,0.0,1.0,6.0,1.0
17211,21.54275,1999.0,,,0.0,1.0,13.0,0.0
17301,6.61,2021.0,3.0,,0.0,0.0,6.61,0.0
17392,3150.25,2008.0,69.0,339.66,0.0,1.0,1000.0,0.0
17468,1.22,2017.0,10.0,,0.0,0.0,1.1,0.0
17540,33.601313,2018.0,101.0,,0.0,1.0,19.695853,1.0
17629,317.980063,2010.0,143.0,8.0,0.0,0.0,106.5,0.0
17692,,2014.0,,,1.0,0.0,,0.0
17742,149.848116,2000.0,52.0,,0.0,0.0,48.386597,1.0
17772,,2004.0,11.0,2.7,0.0,1.0,,0.0
17786,,2009.0,70.0,,0.0,1.0,62.0,0.0
17844,21.218718,2000.0,14.0,,1.0,0.0,8.200003,0.0
17998,,1996.0,457.0,26.2,0.0,1.0,140.0,0.0
18022,4.9,2001.0,30.0,,0.0,1.0,3.5,0.0
18028,,2016.0,6.0,,0.0,1.0,,0.0
18044,,2004.0,,,0.0,1.0,,0.0
18065,11.92501,2012.0,21.0,,0.0,1.0,95.2797347,1.0
18079,79.0,2014.0,325.0,,0.0,0.0,40.0,1.0
18153,,1992.0,1100.0,,0.0,1.0,,0.0
18234,,2011.0,5.0,,0.0,1.0,,0.0
18305,12.04766,2009.0,28.0,,0.0,1.0,270.0,0.0
18360,0.01,2017.0,,0.69,1.0,0.0,0.01,0.0
18398,36.535405,2011.0,86.0,,1.0,0.0,31.835404,1.0
18623,,2014.0,14.0,,0.0,0.0,,0.0
18635,1.3,2018.0,10.0,,0.0,0.0,1.3,0.0
18637,,2016.0,,,0.0,1.0,,0.0
18650,1.770486,2018.0,4.0,,0.0,0.0,1.500486,0.0
18685,,2004.0,7.0,,0.0,0.0,,1.0
18904,,,,,,,0.235,0.0
18988,40.129999,2015.0,50.0,,0.0,0.0,20.0,1.0
19174,23.099999,2010.0,64.0,,0.0,1.0,25.0,1.0
19179,10.55,2011.0,50.0,,0.0,1.0,6.75,0.0
19200,1.45,2019.0,9.0,0.25,0.0,0.0,1.0,0.0
19289,4.537909,2010.0,7.0,,0.0,1.0,3.0,1.0
19324,0.371433,2020.0,6.0,0.02,0.0,0.0,0.371433,0.0
19401,0.59999,2008.0,11.0,,0.0,0.0,0.5,1.0
19505,5.7,2017.0,5.0,,1.0,0.0,5.7,0.0
19524,2.49999,2016.0,,,0.0,1.0,2.49999,0.0
19525,10.08665,2013.0,,,0.0,1.0,5.34845,1.0
19565,91.099996,2009.0,270.0,13.5,0.0,0.0,47.500015,0.0
19769,26.499999,2013.0,70.0,,0.0,1.0,38.0,1.0
19923,,2017.0,8.0,,0.0,0.0,,0.0
19945,0.918736,2014.0,6.0,,0.0,1.0,0.918736,0.0
19959,,2015.0,5.0,,0.0,0.0,,0.0
20018,,2011.0,2.0,,1.0,0.0,,0.0
20054,0.5,2013.0,2.0,,1.0,0.0,0.5,0.0
20282,10.557029,2017.0,75.0,5.0,0.0,1.0,12.46076458,0.0
20324,,2004.0,236.0,,0.0,0.0,,0.0
20378,4.87618,2009.0,27.0,,0.0,1.0,1.85,1.0
20404,0.6900000000000001,2005.0,,,0.0,0.0,0.742962,0.0
20430,58.925,2009.0,86.0,16.2,0.0,0.0,20.95,1.0
20495,4.0,2006.0,10.0,,0.0,1.0,4.0,1.0
20597,,2001.0,44.0,3.8,0.0,1.0,0.3875,0.0
20610,,2017.0,2.0,,0.0,1.0,0.244396,0.0
20662,5.0,2019.0,35.0,,0.0,0.0,5.0,0.0
20664,35.399999,2018.0,51.0,,0.0,0.0,22.6,1.0
20704,206.857286,2006.0,280.0,86.247,0.0,1.0,697.0,1.0
20782,2.50653,2011.0,13.0,,0.0,0.0,1.03653,0.0
20789,,2014.0,6.0,,0.0,0.0,,0.0
21062,0.35775183,2017.0,13.0,,0.0,0.0,,0.0
21088,,,,,,,2.62342103,0.0
21151,34.9,2002.0,300.0,110.0,0.0,1.0,1800.0,0.0
21279,36.592754,2017.0,113.0,,0.0,0.0,12.0,1.0
21282,24.065219,2016.0,40.0,0.53,0.0,0.0,13.0,1.0
21360,5.01,2015.0,106.0,0.00015,0.0,0.0,3.0,0.0
21423,1.6,2018.0,11.0,0.686,0.0,0.0,1.6,0.0
21471,2.859,2016.0,,11.295868,0.0,1.0,2.859,0.0
21553,119.447811,2002.0,71.0,15.9,0.0,1.0,30.0,1.0
21566,0.3825,2016.0,4.0,,0.0,0.0,0.3,1.0
21584,0.503038,2018.0,17.0,0.528,0.0,0.0,1.25,0.0
21654,,2012.0,,,0.0,1.0,2.6,0.0
21676,,2017.0,,,0.0,1.0,30.3,0.0
21687,5.479862,2014.0,13.0,1.6,0.0,0.0,4.013677,1.0
21815,4.8,2012.0,27.0,4.0,0.0,1.0,2.65,0.0
21837,,2003.0,8000.0,93.2,0.0,0.0,,0.0
21894,9.490586,2012.0,66.0,,0.0,0.0,9.490586,1.0
21899,4.5,2012.0,14.0,,0.0,0.0,2.5,0.0
21972,147.600006,2015.0,46.0,,0.0,0.0,100.000006,1.0
22084,,2015.0,46.0,,0.0,1.0,,0.0
22248,,2016.0,339.0,28.0,0.0,1.0,59.3,0.0
22282,7.899494,2012.0,63.0,,0.0,0.0,4.8,1.0
22394,14.025712,2017.0,33.0,,0.0,0.0,9.664358,0.0
22401,1.5,2013.0,3.0,,0.0,1.0,1.4,0.0
22432,,2018.0,3.0,,0.0,1.0,,0.0
22512,10.0,2009.0,10.0,,0.0,0.0,5.0,0.0
22532,24.175,2004.0,46.0,,0.0,1.0,12.625,1.0
22552,,2017.0,72.0,,0.0,0.0,0.15,0.0
22554,14.380039,2000.0,,,0.0,1.0,12.012,1.0
22736,,2015.0,17.0,1.7,0.0,0.0,,0.0
22826,13.328824,2007.0,40.0,,0.0,1.0,13.328824,0.0
22862,1.8,2012.0,3.0,0.2183,0.0,0.0,1.5,0.0
22897,9.463848,2007.0,,,0.0,1.0,9.463848,1.0
22953,15.0,2007.0,51.0,,1.0,0.0,15.0,1.0
23118,,2007.0,800.0,27.750946,0.0,1.0,270.7,0.0
23190,,,,,,,,0.0
23202,6.1,2009.0,310.0,0.69,0.0,0.0,43.5,0.0
23273,,2010.0,,,1.0,0.0,,0.0
23277,125.0,2016.0,20.0,,0.0,0.0,125.0,0.0
23355,,2011.0,3.0,,1.0,0.0,,0.0
23378,,2009.0,12.0,,0.0,1.0,1.1,0.0
23476,11.5,2012.0,28.0,,0.0,1.0,6.5,1.0
23715,3.2,2019.0,16.0,,0.0,1.0,2.1,0.0
23720,2.299995,2013.0,12.0,,0.0,1.0,1.299997,1.0
23793,11.893482,2013.0,41.0,,0.0,0.0,43.0,1.0
24134,1.945,2018.0,16.0,0.511,0.0,0.0,1.5,0.0
24139,2.0,2012.0,16.0,,1.0,0.0,2.0,0.0
24390,2.088701,2005.0,9.0,,0.0,0.0,1.243432,1.0
24545,,2018.0,,,0.0,0.0,,0.0
24673,,2006.0,48.0,4.5,0.0,0.0,,0.0
24767,2.2,2014.0,105.0,,0.0,0.0,2.2,0.0
24810,,2012.0,,,0.0,1.0,0.124874,0.0
24828,1.25,2002.0,,,0.0,1.0,1.25,0.0
24918,,2011.0,5.0,,0.0,1.0,,0.0
24925,,2011.0,11.0,,1.0,0.0,,0.0
25022,4.0600000000000005,2020.0,26.0,,0.0,0.0,4.0,0.0
25042,0.54,2008.0,26.0,,0.0,0.0,0.42,0.0
25057,0.3,2013.0,66.0,,0.0,1.0,102.5,0.0
25067,,2017.0,4.0,,0.0,0.0,0.0097,0.0
25075,138.576293,2006.0,60.0,,0.0,0.0,76.0,1.0
25095,0.295,2015.0,7.0,,0.0,0.0,0.25,0.0
25096,4.0,2003.0,71.0,0.61,0.0,0.0,4.0,0.0
25152,0.300002,2014.0,5.0,,0.0,0.0,0.300002,0.0
25164,0.335,2011.0,11.0,,1.0,0.0,0.2,0.0
25225,,1993.0,164.0,31.4,0.0,1.0,36.0,0.0
25350,23.612502,2018.0,41.0,,0.0,0.0,15.0,1.0
25441,,2009.0,30.0,,0.0,0.0,0.482682,0.0
25481,264.269995,2014.0,170.0,,0.0,0.0,165.0,1.0
25575,2.945,2015.0,11.0,1.0,0.0,0.0,1.07,0.0
25620,57.70000112,2000.0,84.0,,0.0,1.0,21.7,1.0
25677,235.302833,2000.0,278.0,25.0,0.0,0.0,72.0,1.0
25744,2.125,2017.0,10.0,,0.0,0.0,2.0,0.0
25901,7.895186,2016.0,15.0,,0.0,1.0,4.880186,0.0
25934,13.1475,1999.0,,,0.0,1.0,40.4,0.0
25944,2.48,2014.0,4.0,,1.0,0.0,1.98,0.0
25956,14.001479,2002.0,,,1.0,0.0,10.0,1.0
26055,9.828,2010.0,58.0,,0.0,1.0,7.2,0.0
26065,0.255,2011.0,,,1.0,0.0,0.13,0.0
26086,1.9,2010.0,13.0,,0.0,1.0,1.9,0.0
26104,0.001,2012.0,,,0.0,1.0,0.001,0.0
26153,1.2,2013.0,6.0,,0.0,0.0,1.2,0.0
26262,,2007.0,13.0,,0.0,1.0,,0.0
26446,6.10247974,2011.0,18.0,,0.0,1.0,2.50243,1.0
