rcid,TOTALRAISED,YEARFOUNDED,EMPLOYEES,REVENUE,Bankrupt,Acquired_IPO,DEALSIZE,SeriesA
211210,1.5,2018.0,12.0,,0.0,0.0,5.9242,0.0
211242,60.88025529,2018.0,56.0,,0.0,0.0,91.32049435,1.0
211353,0.05,2018.0,,,1.0,0.0,0.025,0.0
211375,5.0,2019.0,20.0,,0.0,0.0,5.0,0.0
211463,18.0,2010.0,74.0,33.0,0.0,0.0,10.0,1.0
211546,257.094986,2013.0,221.0,212.134,1.0,1.0,153.0,1.0
211573,9.964733,2007.0,11.0,,1.0,0.0,6.847399,1.0
211695,127.0,2008.0,268.0,,0.0,0.0,100.0,0.0
211770,0.01608809,2014.0,5.0,,1.0,0.0,0.01608809,0.0
211809,,2001.0,50.0,,0.0,1.0,162.0,0.0
211862,40.999999,2019.0,173.0,3.0,0.0,0.0,30.999999,1.0
211918,,,,,,,3.5,1.0
211994,,2015.0,1.0,,1.0,0.0,,0.0
212053,,2019.0,4.0,,0.0,1.0,,0.0
212060,0.75,2017.0,4.0,,0.0,0.0,,0.0
212283,16.05908,2015.0,26.0,,0.0,0.0,11.05908,0.0
212364,10.0,1999.0,19.0,53.9,0.0,0.0,10.0,0.0
212506,0.625,2019.0,6.0,,0.0,0.0,0.625,0.0
212635,27.223887,2012.0,65.0,,1.0,0.0,21.999999,1.0
212713,,2009.0,137.0,280.94466,0.0,1.0,210.0,0.0
212722,216.0,2009.0,118.0,25.0,0.0,0.0,60.0,0.0
212978,,2020.0,25.0,,0.0,0.0,,0.0
212987,2.792105,2004.0,62.0,,0.0,1.0,1.4,1.0
213010,,2011.0,35.0,8.0,0.0,1.0,,0.0
213012,1.1,2008.0,,,1.0,0.0,1.1,0.0
213190,,2003.0,,3.7,0.0,1.0,,0.0
213281,22.273932,2015.0,10.0,,0.0,0.0,11.4,1.0
213478,,2001.0,8.0,,0.0,1.0,5.8,0.0
213689,22.825395,2013.0,,267.39,0.0,1.0,57.3,1.0
213722,1.985,2016.0,9.0,,0.0,0.0,1.0,0.0
213727,65.62,,83.0,,0.0,1.0,28.1,1.0
213768,180.935,2004.0,10.0,0.5,0.0,1.0,376.0,1.0
213788,42.345229,2014.0,31.0,,0.0,1.0,30.650772,0.0
213811,5.0,2000.0,50.0,,1.0,0.0,4.0,0.0
213832,,2010.0,3.0,,0.0,0.0,,
213850,,2005.0,,,0.0,1.0,,0.0
213853,3.0,2009.0,24.0,,0.0,1.0,3.0,1.0
213861,9.282074,2016.0,20.0,,0.0,0.0,5.772074,1.0
213936,6.0,2003.0,200.0,19.214,0.0,0.0,6.0,0.0
214056,0.35,2016.0,10.0,,0.0,0.0,0.35,0.0
214151,,2020.0,20.0,,0.0,1.0,,0.0
214216,1.61502,2009.0,11.0,,1.0,0.0,1.59002,0.0
214415,0.102343,2016.0,10.0,0.01713,0.0,0.0,0.06,0.0
214454,,2008.0,,,0.0,1.0,,0.0
214463,7.96,2008.0,1000.0,120.0,0.0,1.0,1225.0,0.0
214476,2.74993,2014.0,5.0,,0.0,0.0,1.99993,0.0
214487,2.9,2010.0,,,0.0,1.0,1.9,0.0
214519,19.94,2016.0,30.0,,0.0,0.0,13.0,1.0
214584,0.66,2014.0,6.0,,0.0,0.0,0.5,0.0
214666,2.02,2016.0,6.0,,0.0,0.0,1.0,0.0
214764,82.534793,2013.0,115.0,,0.0,0.0,67.0,1.0
214772,3.700001,2011.0,,,0.0,1.0,3.4,1.0
214912,365.949562,2003.0,400.0,75.0,0.0,1.0,153.51375000000002,1.0
215094,,2010.0,52.0,28.137456,0.0,0.0,,0.0
215095,,2004.0,14.0,,0.0,0.0,1.72431,0.0
215212,,,,,,,27.03116085,0.0
215235,0.154,2016.0,9.0,0.6,0.0,0.0,0.075,0.0
215278,2.162999,2012.0,14.0,,0.0,0.0,1.25,0.0
215337,,,,,0.0,0.0,,
215440,,2008.0,,,0.0,0.0,1.148811,0.0
215499,,2012.0,134.0,40.8,0.0,1.0,1.1,0.0
215552,,2015.0,,,1.0,0.0,,0.0
215558,3.0,2015.0,,,1.0,0.0,3.0,1.0
