role_k500_v3,count
Automotive Sales,3445.0
Chemical Scientist,3371.0
Structural Engineer,3331.0
Quality Assurance Tester,3239.0
Diversity and Inclusion,3216.0
Order Operations,3210.0
Intelligence Analyst,3197.0
Cloud Consultant,3187.0
Leasing Coordinator,3038.0
Estate and Trust Advisor,2971.0
Delivery Driver,2944.0
Airport Operations Crew,2891.0
Security Instructor,2861.0
Contract Administrator,2847.0
Healthcare Consultant,2817.0
Safety Engineer,2812.0
Cash Clerk,2789.0
Production Planner,2767.0
IT Support Operations,2738.0
Process Analyst,2650.0
Equipment Operator,2632.0
Science Project Manager,2631.0
Retail Merchandiser,2630.0
Flight Crew,2625.0
Supply Chain Planner,2619.0
Fraud Investigator,2604.0
HR Systems Analyst,2578.0
Fintech Software Developer,2561.0
Project Planner,2516.0
Healthcare Marketer,2484.0
Change Management,2405.0
Validation Engineer,2401.0
Database Administrator,2394.0
Janitor,2384.0
Healthcare Chaplain,2369.0
Medical Imaging Technologist,2337.0
Agricultural Worker,2320.0
Payment Systems,2313.0
Bioinformatics Analyst,2286.0
Resource Scheduler,2267.0
Data Center Operations,2217.0
Credit Analyst,2204.0
Property Appraiser,2201.0
Trade Logistics Coordinator,2148.0
Health Information Officer,2142.0
Veterinarian,2125.0
Logistics Officer,2121.0
Sustainable Finance Analyst,2119.0
Maritime Operations,2100.0
Facilities Coordinator,2096.0
Dental Assistant,2069.0
Healthcare Technician,2045.0
Farm Operations,1995.0
Commodity Trader,1993.0
Aviation and Marine Mechanic,1980.0
Automotive Service Advisor,1968.0
Transportation Engineer,1908.0
Vehicle Mechanic,1895.0
Landscape Gardener,1880.0
Transportation Planner,1873.0
Game Developer,1867.0
Asset Management,1841.0
Animal Care,1820.0
Landscape Technician,1760.0
Healthcare Project Manager,1753.0
Valuation Analyst,1745.0
Maintenance Supervisor,1736.0
Financial Product,1732.0
Water Engineer,1713.0
Agricultural Scientist,1688.0
Banking Analyst,1655.0
Medical Writer,1620.0
Construction Estimator,1600.0
Data Clerk,1590.0
Flight Operations,1551.0
Home Design Consultant,1550.0
Quantitative Risk Analyst,1523.0
Records Clerk,1502.0
HR Finance Coordinator,1490.0
Community Volunteer,1471.0
Medical Scribe,1467.0
Supply Chain Analyst,1427.0
HR Operations,1399.0
Asset Protection,1360.0
Pricing Analyst,1357.0
Wildlife Conservation Officer,1341.0
Gaming Attendant,1323.0
Aviation Instructor,1307.0
Casino Staff,1294.0
Veterinary Technician,1287.0
Drilling Technician,1284.0
Custodial Cleaner,1283.0
Healthcare Product Manager,1247.0
Aviation Engineer,1228.0
Payroll Coordinator,1224.0
Healthcare Quality Assurance,1224.0
Compensation Specialist,1184.0
Security Product Manager,1164.0
Financial Aid Advisor,1159.0
Total Rewards Specialist,1151.0
Labor Relations,1150.0
Pricing Strategist,1143.0
Construction Inspector,1078.0
Revenue Specialist,1064.0
Actuary,1057.0
Collections Agent,1046.0
Land Acquisition Agent,1045.0
Learning Systems Administrator,1027.0
Energy Engineer,993.0
Utilities Coordinator,991.0
Archaeologist,986.0
Healthcare Recruiter,971.0
Agriculture Sales,970.0
Healthcare Systems Analyst,970.0
Automation Engineer,958.0
Transport Driver,957.0
Food Technologist,945.0
Healthcare Data Analyst,918.0
Regulatory Affairs,916.0
Clinical Data Analyst,914.0
Release Operations,900.0
Healthcare Volunteer,878.0
Communication and Delivery,864.0
Records Manager,846.0
Aviation Meteorologist,844.0
Quality Control Analyst,843.0
Revenue Strategist,812.0
Workforce Analyst,801.0
Telecom Advisor,798.0
Digital Archivist,793.0
Automotive Operations,790.0
Parts Coordinator,774.0
Proposal Coordinator,772.0
Healthcare Finance Analyst,756.0
